ValidStart,area_none,area_d0,area_d1,area_d2,area_d3,area_d4,population_none,population_d0,population_d1,population_d2,population_d3,population_d4,DSCI,total_population,total_area,Region
2000-12-26,1434812.5800000003,101825.23,7758.4400000000005,0.0,0.0,0.0,68357640.85999998,899817.04,130497.41,0.0,0.0,0.0,12.727272727272727,69387955.31,1544396.2500000002,west
2001-01-02,1385883.61,150754.21,7758.4400000000005,0.0,0.0,0.0,47544376.73,21713081.18,130497.41,0.0,0.0,0.0,15.727272727272727,69387955.32,1544396.2600000002,west
2001-01-09,1335052.37,201462.02999999997,7631.41,250.43,0.0,0.0,43966433.519999996,25275881.779999997,113027.15999999999,32612.88,0.0,0.0,25.818181818181817,69387955.34,1544396.24,west
2001-01-16,1393073.9600000002,139449.02000000002,11622.83,250.43,0.0,0.0,63959056.63999999,5098179.64,298106.16,32612.88,0.0,0.0,27.818181818181817,69387955.32,1544396.24,west
2001-01-23,1212072.0000000002,319908.04,12165.78,250.43,0.0,0.0,55062839.85,13926646.57,365856.02,32612.88,0.0,0.0,47.54545454545455,69387955.32,1544396.2500000002,west
2001-01-30,1222362.3,313528.81,8254.710000000001,250.43,0.0,0.0,55335607.4,13666516.510000002,353218.54,32612.88,0.0,0.0,46.81818181818182,69387955.33,1544396.2500000002,west
2001-02-06,1198507.82,337311.52,5827.030000000001,2749.87,0.0,0.0,53367722.19,15623902.73,247820.68,148509.72,0.0,0.0,52.0,69387955.32,1544396.2400000002,west
2001-02-13,1197532.4000000001,149261.88,195916.02,1685.98,0.0,0.0,53954446.22000001,4339266.46,10995064.73,99177.9,0.0,0.0,69.81818181818181,69387955.31,1544396.28,west
2001-02-20,1206989.1500000001,141599.43000000002,194121.7,1685.98,0.0,0.0,54855418.17999999,3459358.52,10974000.73,99177.9,0.0,0.0,69.0,69387955.33,1544396.2600000002,west
2001-02-27,1182168.84,161870.90000000002,198471.81,1634.28,250.43,0.0,54966272.19,3301463.0100000002,11011826.95,75780.28,32612.88,0.0,72.0909090909091,69387955.31,1544396.26,west
2001-03-06,1182168.84,149908.74000000002,206760.49,5307.76,250.43,0.0,54966272.19,3247799.0199999996,10780067.65,361203.56000000006,32612.88,0.0,73.72727272727273,69387955.3,1544396.26,west
2001-03-13,1169096.7999999998,162839.39,171214.59,40995.05,250.43,0.0,54798654.64,3395965.02,9082546.04,2078176.74,32612.88,0.0,80.0909090909091,69387955.32,1544396.26,west
2001-03-20,1155181.1099999999,164020.38999999998,164403.03,60541.29,250.43,0.0,53638085.370000005,4598721.19,8673568.530000001,2444967.35,32612.88,0.0,80.63636363636364,69387955.32,1544396.25,west
2001-03-27,1155150.86,164046.58,164404.0,60544.39,250.43,0.0,53636059.419999994,4600157.24,8673731.06,2445394.74,32612.88,0.0,80.72727272727273,69387955.34,1544396.26,west
2001-04-03,1136316.45,177880.22,155338.35,67230.14,7631.129999999999,0.0,53061953.71,4462759.83,9274862.43,2374796.9,213582.44,0.0,78.27272727272727,69387955.30999999,1544396.29,west
2001-04-10,1150675.8800000001,140579.45,177935.35000000003,67574.45,7631.129999999999,0.0,53699606.67,3750423.06,9320862.75,2403480.39,213582.44,0.0,79.63636363636364,69387955.31,1544396.26,west
2001-04-17,1142050.53,146801.59,180338.82,67574.20999999999,7631.129999999999,0.0,53238965.14,4154975.1500000004,9376936.39,2403496.18,213582.44,0.0,79.72727272727273,69387955.3,1544396.2799999998,west
2001-04-24,1150617.9200000002,138234.19,180337.93,67575.09,7631.129999999999,0.0,53338495.599999994,4055444.67,9376895.309999999,2403537.26,213582.44,0.0,78.9090909090909,69387955.28,1544396.26,west
2001-05-01,1162164.31,126546.86,180480.75,67573.23,7631.129999999999,0.0,53383182.779999994,4008662.9300000006,9379076.45,2403450.69,213582.44,0.0,77.81818181818181,69387955.29,1544396.2799999998,west
2001-05-08,1162292.46,126418.73,180479.91999999998,69073.1,6132.0599999999995,0.0,53383779.69,4008066.17,9379038.57,2431716.5,185354.37,0.0,77.72727272727273,69387955.3,1544396.2700000003,west
2001-05-15,1164925.76,107553.28000000001,185550.65,79973.06,6393.540000000001,0.0,51932311.62,5253128.27,7678418.17,4340807.93,183289.33000000002,0.0,83.18181818181819,69387955.32000001,1544396.2900000003,west
2001-05-22,1164925.76,107553.28000000001,185550.65,79973.06,6393.540000000001,0.0,51932311.62,5253126.88,7678419.55,4340807.93,183289.33000000002,0.0,83.18181818181819,69387955.30999999,1544396.2899999998,west
2001-05-29,1164925.76,107553.29000000002,169708.90000000002,95977.02,6231.32,0.0,51932311.62,5253128.49,6981444.880000001,5041517.62,179552.69,0.0,84.45454545454545,69387955.3,1544396.2900000003,west
2001-06-05,1109670.7700000003,130902.7,198198.13,99231.14,6393.540000000001,0.0,47820198.31,9094931.69,7788637.57,4500898.47,183289.33000000002,0.0,91.45454545454545,69387955.37,1544396.28,west
2001-06-12,1059177.05,150241.77,225115.81999999998,103665.92,6195.72,0.0,46958755.3,8032171.91,9655208.54,4583908.24,157911.33000000002,0.0,98.0909090909091,69387955.32,1544396.28,west
2001-06-19,952914.8200000001,268620.55,125445.23,188971.1,8444.55,0.0,41945869.63,14629087.479999999,5035994.45,7576942.76,200061.02,0.0,114.27272727272727,69387955.34,1544396.2500000002,west
2001-06-26,930912.92,242040.62999999998,117879.46,235646.94,17916.32,0.0,41728892.86,12644497.85,6583508.08,7926908.1899999995,504148.36,0.0,126.45454545454545,69387955.34,1544396.27,west
2001-07-03,852541.05,310071.54,70015.6,225850.55000000002,85917.51,0.0,39881344.99,14430010.76,5467907.5,8321463.13,1287228.9700000002,0.0,142.63636363636363,69387955.35000001,1544396.2500000002,west
2001-07-10,1020181.9000000001,145356.62,87954.36000000002,206598.39,84305.02,0.0,45137218.12,9189392.39,6071098.529999999,7636485.25,1353761.03,0.0,129.1818181818182,69387955.32,1544396.29,west
2001-07-17,1020934.4400000002,139383.22,85648.75,208350.43,90079.43,0.0,43965814.29,10216858.6,5943740.99,7890836.719999999,1370704.76,0.0,130.36363636363637,69387955.36,1544396.27,west
2001-07-24,1015157.3600000001,141977.57,96411.76000000001,200770.17,90079.43,0.0,43507358.57,9694983.91,8574852.53,6240055.5600000005,1370704.76,0.0,131.0,69387955.33,1544396.2899999998,west
2001-07-31,1027121.1500000001,126892.11,95728.45999999999,184786.95,109867.61,0.0,43558680.91,9613403.22,8580526.55,6122917.6899999995,1512426.93,0.0,133.36363636363637,69387955.29999998,1544396.28,west
2001-08-07,1015945.6400000001,136730.52000000002,96208.41,187150.97000000003,108360.73000000001,0.0,43521678.85,9631879.15,8586434.26,6155263.02,1492700.03,0.0,134.1818181818182,69387955.31,1544396.27,west
2001-08-14,1025213.5700000001,128650.8,94111.67000000001,184029.65000000002,112390.55,0.0,43509795.57,9666935.250000002,8597984.63,6098515.609999999,1514724.27,0.0,133.9090909090909,69387955.33,1544396.24,west
2001-08-21,1032152.96,108634.70999999999,109314.32000000002,160011.40000000002,134282.86,0.0,44092288.19,8522457.23,8985337.5,5824792.300000001,1963080.1,0.0,132.63636363636363,69387955.32,1544396.2500000002,west
2001-08-28,1017390.0,118935.49,98270.71999999999,163199.39,146600.67,0.0,42807636.07,8997273.38,9831680.08,5506509.34,2244856.46,0.0,136.0,69387955.33,1544396.27,west
2001-09-04,1017959.2000000001,118168.93999999999,98527.06999999999,159406.85,150334.23,0.0,42884628.09,8919651.53,9831263.57,5460357.08,2292055.06,0.0,136.45454545454547,69387955.32999998,1544396.29,west
2001-09-11,904476.1400000001,172385.84,138198.24,150769.17,178566.88999999998,0.0,37030260.45,6558209.0,16299492.86,6981605.64,2518387.39,0.0,153.8181818181818,69387955.33999999,1544396.2799999998,west
2001-09-18,901015.0700000001,173771.41999999998,140273.72999999998,150769.2,178566.86,0.0,36937654.46,6617254.790000001,16333052.07,6981607.67,2518386.35,0.0,155.27272727272728,69387955.34,1544396.2799999998,west
2001-09-25,903766.08,171020.4,140273.73,150769.19999999998,178566.89,0.0,36949345.59,6605568.800000001,16333046.930000003,6981611.31,2518382.68,0.0,155.1818181818182,69387955.31,1544396.3,west
