MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,ClimateDivisionsID
20211214,Western,0.00,0.00,"15,121.37","3,482.23","4,908.56",911.29,2021-12-14,2021-12-20,2,2401
20211207,Western,0.00,0.00,"10,560.59","6,605.00","6,335.84",922.02,2021-12-07,2021-12-13,2,2401
20211130,Western,0.00,0.00,"10,560.59","8,570.23","4,370.61",922.02,2021-11-30,2021-12-06,2,2401
20211123,Western,0.00,0.00,"10,560.59","8,570.23","4,370.61",922.02,2021-11-23,2021-11-29,2,2401
20211116,Western,0.00,0.00,"10,560.59","8,570.23","4,370.61",922.02,2021-11-16,2021-11-22,2,2401
20211109,Western,0.00,0.00,0.00,"19,130.83","4,053.12","1,239.51",2021-11-09,2021-11-15,2,2401
20211102,Western,0.00,0.00,0.00,"19,130.83","4,053.12","1,239.51",2021-11-02,2021-11-08,2,2401
20211026,Western,0.00,0.00,0.00,"18,295.91","4,879.45","1,248.10",2021-10-26,2021-11-01,2,2401
20211019,Western,0.00,0.00,0.00,"18,343.36","5,506.62",573.48,2021-10-19,2021-10-25,2,2401
20211012,Western,0.00,0.00,0.00,"19,752.82","4,097.16",573.48,2021-10-12,2021-10-18,2,2401
20211005,Western,0.00,0.00,0.00,"19,752.82","4,097.16",573.48,2021-10-05,2021-10-11,2,2401
20210928,Western,0.00,0.00,0.00,"21,443.04","2,406.93",573.48,2021-09-28,2021-10-04,2,2401
20210921,Western,0.00,0.00,0.00,"21,443.04","2,980.41",0.00,2021-09-21,2021-09-27,2,2401
20210914,Western,0.00,0.00,0.00,"16,983.43","7,440.02",0.00,2021-09-14,2021-09-20,2,2401
20210907,Western,0.00,0.00,0.00,"16,983.43","7,413.06",26.96,2021-09-07,2021-09-13,2,2401
20210831,Western,0.00,0.00,0.00,"16,983.43","7,413.06",26.96,2021-08-31,2021-09-06,2,2401
20210824,Western,0.00,0.00,0.00,"16,324.22","8,072.28",26.96,2021-08-24,2021-08-30,2,2401
20210817,Western,0.00,0.00,0.00,"16,324.22","8,072.28",26.96,2021-08-17,2021-08-23,2,2401
20210810,Western,0.00,0.00,0.00,"16,973.22","7,423.28",26.96,2021-08-10,2021-08-16,2,2401
20210803,Western,0.00,0.00,0.00,"16,970.80","7,452.65",0.00,2021-08-03,2021-08-09,2,2401
20210727,Western,0.00,0.00,"13,506.25","9,959.05",958.15,0.00,2021-07-27,2021-08-02,2,2401
20210720,Western,0.00,199.98,"13,306.27","10,170.35",746.85,0.00,2021-07-20,2021-07-26,2,2401
20210713,Western,0.00,"2,206.16","17,186.95","5,030.34",0.00,0.00,2021-07-13,2021-07-19,2,2401
20210706,Western,0.00,"12,603.87","11,216.53",603.05,0.00,0.00,2021-07-06,2021-07-12,2,2401
20210629,Western,"6,345.87","9,733.17","7,779.69",564.72,0.00,0.00,2021-06-29,2021-07-05,2,2401
20210622,Western,"7,286.30","12,602.69","4,031.37",503.09,0.00,0.00,2021-06-22,2021-06-28,2,2401
20210615,Western,"7,286.30","13,848.74","2,779.19",509.22,0.00,0.00,2021-06-15,2021-06-21,2,2401
20210608,Western,"6,811.66","14,323.39","2,779.19",509.22,0.00,0.00,2021-06-08,2021-06-14,2,2401
20210601,Western,"8,041.74","13,377.42","3,004.30",0.00,0.00,0.00,2021-06-01,2021-06-07,2,2401
20210525,Western,"6,439.69","10,375.88","7,607.88",0.00,0.00,0.00,2021-05-25,2021-05-31,2,2401
20210518,Western,"5,205.83","7,823.52","11,394.11",0.00,0.00,0.00,2021-05-18,2021-05-24,2,2401
20210511,Western,"5,205.83","7,823.52","11,394.11",0.00,0.00,0.00,2021-05-11,2021-05-17,2,2401
20210504,Western,"5,205.83","7,835.66","11,381.97",0.00,0.00,0.00,2021-05-04,2021-05-10,2,2401
20210427,Western,"5,180.99","9,194.78","10,047.68",0.00,0.00,0.00,2021-04-27,2021-05-03,2,2401
20210420,Western,"5,188.76","9,187.01","10,047.68",0.00,0.00,0.00,2021-04-20,2021-04-26,2,2401
20210413,Western,"11,159.85","13,263.61",0.00,0.00,0.00,0.00,2021-04-13,2021-04-19,2,2401
20210406,Western,"16,929.85","7,493.61",0.00,0.00,0.00,0.00,2021-04-06,2021-04-12,2,2401
20210330,Western,"17,059.48","7,363.97",0.00,0.00,0.00,0.00,2021-03-30,2021-04-05,2,2401
20210323,Western,"21,532.93","2,890.53",0.00,0.00,0.00,0.00,2021-03-23,2021-03-29,2,2401
20210316,Western,"21,621.93","2,801.53",0.00,0.00,0.00,0.00,2021-03-16,2021-03-22,2,2401
20210309,Western,"21,553.02","2,870.43",0.00,0.00,0.00,0.00,2021-03-09,2021-03-15,2,2401
20210302,Western,"21,553.02","2,757.71",112.72,0.00,0.00,0.00,2021-03-02,2021-03-08,2,2401
20210223,Western,"4,354.47","19,956.26",112.72,0.00,0.00,0.00,2021-02-23,2021-03-01,2,2401
20210216,Western,"4,354.47","19,956.26",112.72,0.00,0.00,0.00,2021-02-16,2021-02-22,2,2401
20210209,Western,"4,354.47","19,956.26",112.72,0.00,0.00,0.00,2021-02-09,2021-02-15,2,2401
20210202,Western,"4,354.47","19,956.26",112.72,0.00,0.00,0.00,2021-02-02,2021-02-08,2,2401
20210126,Western,"18,396.02","5,914.72",112.72,0.00,0.00,0.00,2021-01-26,2021-02-01,2,2401
20210119,Western,"23,766.64",656.81,0.00,0.00,0.00,0.00,2021-01-19,2021-01-25,2,2401
20210112,Western,"23,833.66",589.79,0.00,0.00,0.00,0.00,2021-01-12,2021-01-18,2,2401
20210105,Western,"24,335.23",88.23,0.00,0.00,0.00,0.00,2021-01-05,2021-01-11,2,2401
20201229,Western,"24,339.93",83.52,0.00,0.00,0.00,0.00,2020-12-29,2021-01-04,2,2401
20201222,Western,"24,339.93",83.52,0.00,0.00,0.00,0.00,2020-12-22,2020-12-28,2,2401
20201215,Western,"24,339.93",83.52,0.00,0.00,0.00,0.00,2020-12-15,2020-12-21,2,2401
20201208,Western,"24,339.93",83.52,0.00,0.00,0.00,0.00,2020-12-08,2020-12-14,2,2401
